"mic","symbol","isin","date","open_value","high_value","low_value","last_value","change_prev_close_percentage","turnover"
"XZAG","CBX","HRZB00ICBEX6","2015-12-30",1689.22,1689.71,1673.62,1689.63,-0.02,2017520.82
"XZAG","CBX","HRZB00ICBEX6","2015-12-29",1675.79,1691.02,1673.37,1689.94,0.84,1094356.06
"XZAG","CBX","HRZB00ICBEX6","2015-12-28",1655.92,1677.17,1652.76,1675.88,1.21,1125687.29
"XZAG","CBX","HRZB00ICBEX6","2015-12-23",1647.66,1655.77,1641.41,1655.77,0.49,592284.75
"XZAG","CBX","HRZB00ICBEX6","2015-12-22",1655.71,1655.71,1642.60,1647.67,-0.55,2714509.05
"XZAG","CBX","HRZB00ICBEX6","2015-12-21",1657.62,1657.86,1649.55,1656.75,-0.05,563695.53
"XZAG","CBX","HRZB00ICBEX6","2015-12-18",1659.32,1659.58,1650.21,1657.62,-0.08,748410.43
"XZAG","CBX","HRZB00ICBEX6","2015-12-17",1660.69,1660.69,1656.11,1658.96,-0.11,1466178.70
"XZAG","CBX","HRZB00ICBEX6","2015-12-16",1656.43,1660.81,1652.61,1660.81,0.27,687215.52
"XZAG","CBX","HRZB00ICBEX6","2015-12-15",1653.74,1656.34,1646.09,1656.34,0.20,1972064.13
"XZAG","CBX","HRZB00ICBEX6","2015-12-14",1659.80,1661.31,1652.81,1653.09,-0.42,1421616.74
"XZAG","CBX","HRZB00ICBEX6","2015-12-11",1672.94,1673.43,1657.84,1659.99,-0.80,856769.85
"XZAG","CBX","HRZB00ICBEX6","2015-12-10",1680.02,1680.25,1673.30,1673.30,-0.40,259224.56
"XZAG","CBX","HRZB00ICBEX6","2015-12-09",1679.15,1681.56,1675.01,1680.02,0.04,454902.35
"XZAG","CBX","HRZB00ICBEX6","2015-12-08",1685.04,1685.39,1676.48,1679.34,-0.19,691173.17
"XZAG","CBX","HRZB00ICBEX6","2015-12-07",1673.22,1685.70,1669.19,1682.51,0.56,817607.05
"XZAG","CBX","HRZB00ICBEX6","2015-12-04",1677.37,1679.78,1671.60,1673.21,-0.25,559423.12
"XZAG","CBX","HRZB00ICBEX6","2015-12-03",1673.86,1677.37,1670.34,1677.37,0.25,490468.02
"XZAG","CBX","HRZB00ICBEX6","2015-12-02",1680.79,1681.07,1670.09,1673.27,-0.45,986247.15
"XZAG","CBX","HRZB00ICBEX6","2015-12-01",1679.80,1681.28,1677.18,1680.86,0.04,372654.98
"XZAG","CBX","HRZB00ICBEX6","2015-11-30",1688.68,1690.43,1679.19,1680.19,-0.50,1819453.99
"XZAG","CBX","HRZB00ICBEX6","2015-11-27",1693.44,1696.00,1687.88,1688.66,-0.27,1726678.06
"XZAG","CBX","HRZB00ICBEX6","2015-11-26",1690.60,1693.18,1685.28,1693.18,0.16,642514.53
